item_id,restaurant,name,calories,fat_g,carbohydrates_g,protein_g,sodium_mg,cholesterol_mg,fiber_g,restaurant_id
28,Starbucks,BBQ CHIPS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
29,Starbucks,BERRY TRIO PARFAIT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
30,Starbucks,BERRY TRIO YOGURT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
31,Starbucks,BERRY TRIO YOGURT,240,2,39,14,125,5,3,1
32,Starbucks,BIRTHDAY CAKE POP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
33,Starbucks,BIRTHDAY CAKE POP,170,9,23,1,110,10,0,1
34,Starbucks,BLACK ICE CRYSTAL STAINLESS-STEEL TUMBLÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
35,Starbucks,BLENDED STRAWBERRY LEMONADE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
36,Starbucks,"BLENDED STRAWBERRY LEMONADE, GRANDE",200,0,52,0,160,0,1,1
37,Starbucks,"BLENDED STRAWBERRY LEMONADE, TALL",160,0,40,0,120,0,0,1
38,Starbucks,"BLENDED STRAWBERRY LEMONADE, VENTI",280,0,71,0,210,0,1,1
39,Starbucks,BLONDE ROAST,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
40,Starbucks,BLONDE ROAST BREWED COFFEE TRAVELER,5,0,0,1,10,0,0,1
41,Starbucks,"BLONDE ROAST BREWED COFFEE, GRANDE",5,0,0,1,10,0,0,1
42,Starbucks,"BLONDE ROAST BREWED COFFEE, SHORT",5,0,0,0,5,0,0,1
43,Starbucks,"BLONDE ROAST BREWED COFFEE, TALL",5,0,0,0,10,0,0,1
44,Starbucks,"BLONDE ROAST BREWED COFFEE, VENTI",5,0,0,1,10,0,0,1
45,Starbucks,BLONDE ROAST GROUND COFFEE K-CUP PODS,2,5,0,0,5,0,0,1
46,Starbucks,BLONDE SUNRISE BLEND GROUND COFFEE,2,5,0,0,5,0,0,1
47,Starbucks,BLUEBERRY MUFFIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
48,Starbucks,BLUEBERRY MUFFIN WITH YOGURT AND HONEY,380,16,53,6,260,60,1,1
49,Starbucks,BLUEBERRY SCONE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
50,Starbucks,BLUEBERRY SCONE,420,17,61,5,510,60,2,1
51,Starbucks,BOLIVIA SOL DE LA MA„ANA STARBUCKS RESEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
52,Starbucks,BRUSHED SILVER STAINLESS-STEEL TUMBLER É,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
53,Starbucks,BURRATA & BASIL PESTO SMALL SANDWICH,300,14,34,11,540,20,2,1
54,Starbucks,BUTTER CROISSANT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
55,Starbucks,BUTTER CROISSANT,240,12,28,5,330,30,1,1
56,Starbucks,BUTTER GOURMET POPCORN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
57,Starbucks,BUTTERFLY COOKIE,350,22,38,2,50,0,0,1
58,Starbucks,CAFE VERONA DARK ROAST GROUND ARABICA CÉ,2,5,0,0,5,0,0,1
59,Starbucks,CAFFé AMERICANO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
60,Starbucks,CAFFE AMERICANO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
61,Starbucks,"CAFFE AMERICANO, GRANDE",15,0,3,1,15,0,0,1
62,Starbucks,"CAFFE AMERICANO, SHORT",5,0,1,0,5,0,0,1
63,Starbucks,"CAFFE AMERICANO, TALL",10,0,2,1,10,0,0,1
64,Starbucks,"CAFFE AMERICANO, VENTI",25,0,4,1,15,0,0,1
65,Starbucks,CAFFé LATTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
66,Starbucks,CAFFE LATTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
67,Starbucks,"CAFFE LATTE WITH 2% MILK, GRANDE",190,7,19,13,170,30,0,1
68,Starbucks,"CAFFE LATTE WITH 2% MILK, SHORT",100,4,10,6,85,15,0,1
69,Starbucks,"CAFFE LATTE WITH 2% MILK, TALL",150,6,15,10,135,25,0,1
70,Starbucks,"CAFFE LATTE WITH 2% MILK, VENTI",250,9,24,16,220,40,0,1
71,Starbucks,"CAFFE LATTE WITH ALMOND MILK, GRANDE",100,6,9,3,160,0,2,1
72,Starbucks,"CAFFE LATTE WITH ALMOND MILK, SHORT",50,3,5,1,85,0,1,1
73,Starbucks,"CAFFE LATTE WITH ALMOND MILK, TALL",80,5,7,2,130,0,1,1
74,Starbucks,"CAFFE LATTE WITH ALMOND MILK, VENTI",130,8,11,4,210,0,2,1
75,Starbucks,"CAFFE LATTE WITH COCONUT MILK, GRANDE",140,8,14,1,150,0,0,1
76,Starbucks,"CAFFE LATTE WITH COCONUT MILK, SHORT",70,4,7,1,75,0,0,1
77,Starbucks,"CAFFE LATTE WITH COCONUT MILK, TALL",110,7,11,1,120,0,0,1
78,Starbucks,"CAFFE LATTE WITH COCONUT MILK, VENTI",170,11,18,2,190,0,0,1
79,Starbucks,"CAFFE LATTE WITH NONFAT MILK, GRANDE",130,0,20,13,150,5,0,1
80,Starbucks,"CAFFE LATTE WITH NONFAT MILK, SHORT",70,0,10,7,80,5,0,1
81,Starbucks,"CAFFE LATTE WITH NONFAT MILK, TALL",100,0,15,10,120,5,0,1
82,Starbucks,"CAFFE LATTE WITH NONFAT MILK, VENTI",170,0,25,17,200,10,0,1
83,Starbucks,"CAFFE LATTE WITH SOY MILK, GRANDE",190,6,24,10,135,0,1,1
84,Starbucks,"CAFFE LATTE WITH SOY MILK, SHORT",100,3,12,5,65,0,1,1
85,Starbucks,"CAFFE LATTE WITH SOY MILK, TALL",150,4,18,8,105,0,1,1
86,Starbucks,"CAFFE LATTE WITH SOY MILK, VENTI",240,7,30,13,170,0,2,1
87,Starbucks,"CAFFE LATTE WITH WHOLE MILK, GRANDE",230,12,19,12,160,35,0,1
88,Starbucks,"CAFFE LATTE WITH WHOLE MILK, SHORT",120,6,10,6,80,20,0,1
89,Starbucks,"CAFFE LATTE WITH WHOLE MILK, TALL",180,9,15,9,125,30,0,1
90,Starbucks,"CAFFE LATTE WITH WHOLE MILK, VENTI",300,15,24,15,200,45,0,1
91,Starbucks,CAFFé MISTO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
92,Starbucks,CAFFE MISTO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
93,Starbucks,"CAFFE MISTO WITH 2% MILK, GRANDE",110,4,10,7,100,15,0,1
94,Starbucks,"CAFFE MISTO WITH 2% MILK, SHORT",50,2,5,4,50,10,0,1
95,Starbucks,"CAFFE MISTO WITH 2% MILK, TALL",80,3,8,5,80,15,0,1
96,Starbucks,"CAFFE MISTO WITH 2% MILK, VENTI",130,5,13,9,130,20,0,1
97,Starbucks,"CAFFE MISTO WITH ALMOND MILK, GRANDE",50,4,4,2,95,0,1,1
98,Starbucks,"CAFFE MISTO WITH ALMOND MILK, SHORT",30,2,2,1,50,0,0,1
99,Starbucks,"CAFFE MISTO WITH ALMOND MILK, TALL",40,2,3,1,75,0,1,1
100,Starbucks,"CAFFE MISTO WITH ALMOND MILK, VENTI",60,4,4,2,100,0,1,1
101,Starbucks,"CAFFE MISTO WITH COCONUT MILK, GRANDE",70,4,7,1,90,0,0,1
102,Starbucks,"CAFFE MISTO WITH COCONUT MILK, SHORT",40,2,4,0,45,0,0,1
103,Starbucks,"CAFFE MISTO WITH COCONUT MILK, TALL",60,4,6,1,70,0,0,1
104,Starbucks,"CAFFE MISTO WITH COCONUT MILK, VENTI",80,5,7,1,90,0,0,1
105,Starbucks,"CAFFE MISTO WITH NONFAT MILK, GRANDE",70,0,10,7,90,5,0,1
106,Starbucks,"CAFFE MISTO WITH NONFAT MILK, SHORT",35,0,5,4,45,0,0,1
107,Starbucks,"CAFFE MISTO WITH NONFAT MILK, TALL",60,0,8,6,70,5,0,1
108,Starbucks,"CAFFE MISTO WITH NONFAT MILK, VENTI",90,0,13,9,115,5,0,1
109,Starbucks,"CAFFE MISTO WITH SOY MILK, GRANDE",100,3,13,6,80,0,1,1
110,Starbucks,"CAFFE MISTO WITH SOY MILK, SHORT",50,2,6,3,40,0,0,1
111,Starbucks,"CAFFE MISTO WITH SOY MILK, TALL",80,2,10,4,60,0,1,1
112,Starbucks,"CAFFE MISTO WITH SOY MILK, VENTI",130,4,16,7,100,0,1,1
113,Starbucks,"CAFFE MISTO WITH WHOLE MILK, GRANDE",130,7,10,7,95,20,0,1
114,Starbucks,"CAFFE MISTO WITH WHOLE MILK, SHORT",70,4,5,3,50,10,0,1
115,Starbucks,"CAFFE MISTO WITH WHOLE MILK, TALL",100,5,8,5,70,15,0,1
116,Starbucks,"CAFFE MISTO WITH WHOLE MILK, VENTI",160,9,13,9,120,25,0,1
117,Starbucks,CAFFé MOCHA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
118,Starbucks,CAFFE MOCHA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
119,Starbucks,"CAFFE MOCHA WITH 2% MILK AND NO WHIP, GÉ",290,8,42,13,140,25,4,1
120,Starbucks,"CAFFE MOCHA WITH 2% MILK AND NO WHIP, SÉ",150,4,21,7,70,10,2,1
121,Starbucks,"CAFFE MOCHA WITH 2% MILK AND NO WHIP, TÉ",230,6,32,10,115,20,3,1
122,Starbucks,"CAFFE MOCHA WITH 2% MILK AND NO WHIP, VÉ",380,11,53,17,190,30,5,1
123,Starbucks,"CAFFE MOCHA WITH 2% MILK AND WHIP, GRANÉ",360,15,44,13,150,50,4,1
124,Starbucks,"CAFFE MOCHA WITH 2% MILK AND WHIP, SHORÉ",200,9,22,7,75,30,2,1
125,Starbucks,"CAFFE MOCHA WITH 2% MILK AND WHIP, TALL",290,13,34,11,120,40,3,1
126,Starbucks,"CAFFE MOCHA WITH 2% MILK AND WHIP, VENTÉ",450,18,55,17,190,55,5,1
127,Starbucks,CAFFE MOCHA WITH ALMOND MILK AND NO WHIÉ,220,7,34,5,140,0,5,1
128,Starbucks,CAFFE MOCHA WITH ALMOND MILK AND NO WHIÉ,110,4,17,3,70,0,3,1
129,Starbucks,CAFFE MOCHA WITH ALMOND MILK AND NO WHIÉ,170,6,26,4,110,0,4,1
130,Starbucks,CAFFE MOCHA WITH ALMOND MILK AND NO WHIÉ,280,10,43,7,180,0,7,1
131,Starbucks,"CAFFE MOCHA WITH ALMOND MILK AND WHIP, É",300,15,36,6,150,25,5,1
132,Starbucks,"CAFFE MOCHA WITH ALMOND MILK AND WHIP, É",160,9,19,3,75,20,3,1
133,Starbucks,"CAFFE MOCHA WITH ALMOND MILK AND WHIP, É",230,12,27,4,120,25,4,1
134,Starbucks,"CAFFE MOCHA WITH ALMOND MILK AND WHIP, É",350,17,45,7,190,25,7,1
135,Starbucks,CAFFE MOCHA WITH COCONUT MILK AND NO WHÉ,250,9,39,4,130,0,4,1
136,Starbucks,CAFFE MOCHA WITH COCONUT MILK AND NO WHÉ,130,4,19,2,65,0,2,1
137,Starbucks,CAFFE MOCHA WITH COCONUT MILK AND NO WHÉ,190,7,29,3,105,0,3,1
138,Starbucks,CAFFE MOCHA WITH COCONUT MILK AND NO WHÉ,320,12,48,5,170,0,5,1
139,Starbucks,"CAFFE MOCHA WITH COCONUT MILK AND WHIP,É",330,16,41,5,135,25,4,1
140,Starbucks,"CAFFE MOCHA WITH COCONUT MILK AND WHIP,É",180,10,21,2,70,20,2,1
141,Starbucks,"CAFFE MOCHA WITH COCONUT MILK AND WHIP,É",250,13,31,3,110,25,3,1
142,Starbucks,"CAFFE MOCHA WITH COCONUT MILK AND WHIP,É",390,19,50,5,180,25,5,1
143,Starbucks,CAFFE MOCHA WITH NONFAT MILK AND NO WHIÉ,250,2,42,13,125,5,4,1
144,Starbucks,CAFFE MOCHA WITH NONFAT MILK AND NO WHIÉ,120,2,21,7,65,5,2,1
145,Starbucks,CAFFE MOCHA WITH NONFAT MILK AND NO WHIÉ,190,2,32,10,100,5,3,1
146,Starbucks,CAFFE MOCHA WITH NONFAT MILK AND NO WHIÉ,310,4,54,17,170,10,5,1
147,Starbucks,"CAFFE MOCHA WITH NONFAT MILK AND WHIP, É",320,10,44,14,135,30,4,1
148,Starbucks,"CAFFE MOCHA WITH NONFAT MILK AND WHIP, É",180,6,23,7,70,20,2,1
149,Starbucks,"CAFFE MOCHA WITH NONFAT MILK AND WHIP, É",250,8,34,11,110,25,3,1
150,Starbucks,"CAFFE MOCHA WITH NONFAT MILK AND WHIP, É",390,10,56,18,170,35,5,1
151,Starbucks,"CAFFE MOCHA WITH SOY MILK AND NO WHIP, É",290,7,46,11,110,0,5,1
152,Starbucks,"CAFFE MOCHA WITH SOY MILK AND NO WHIP, É",150,4,23,6,55,0,3,1
153,Starbucks,"CAFFE MOCHA WITH SOY MILK AND NO WHIP, É",230,5,35,9,90,0,4,1
154,Starbucks,"CAFFE MOCHA WITH SOY MILK AND NO WHIP, É",370,9,58,15,140,0,6,1
155,Starbucks,"CAFFE MOCHA WITH SOY MILK AND WHIP, GRAÉ",360,14,48,12,115,25,5,1
156,Starbucks,"CAFFE MOCHA WITH SOY MILK AND WHIP, SHOÉ",200,9,24,6,60,20,3,1
157,Starbucks,"CAFFE MOCHA WITH SOY MILK AND WHIP, TALÉ",290,11,37,9,95,25,4,1
158,Starbucks,"CAFFE MOCHA WITH SOY MILK AND WHIP, VENÉ",450,16,60,15,150,25,6,1
159,Starbucks,CAFFE MOCHA WITH WHOLE MILK AND NO WHIPÉ,330,12,42,13,130,30,4,1
160,Starbucks,CAFFE MOCHA WITH WHOLE MILK AND NO WHIPÉ,160,6,21,6,65,15,2,1
161,Starbucks,CAFFE MOCHA WITH WHOLE MILK AND NO WHIPÉ,250,9,32,10,105,25,3,1
162,Starbucks,CAFFE MOCHA WITH WHOLE MILK AND NO WHIPÉ,420,16,53,16,170,40,5,1
163,Starbucks,"CAFFE MOCHA WITH WHOLE MILK AND WHIP, GÉ",400,19,44,13,135,55,4,1
164,Starbucks,"CAFFE MOCHA WITH WHOLE MILK AND WHIP, SÉ",210,11,22,7,70,35,2,1
165,Starbucks,"CAFFE MOCHA WITH WHOLE MILK AND WHIP, TÉ",310,16,34,10,110,45,3,1
166,Starbucks,"CAFFE MOCHA WITH WHOLE MILK AND WHIP, VÉ",490,23,55,17,180,65,5,1
167,Starbucks,CAFFE VANILLA FRAPPUCCINO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
168,Starbucks,CAFFé VANILLA FRAPPUCCINO BLENDED BEVERÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
169,Starbucks,"CAFFE VANILLA FRAPPUCCINO LIGHT, GRANDE",180,0,40,3,200,0,0,1
170,Starbucks,"CAFFE VANILLA FRAPPUCCINO LIGHT, TALL",130,0,30,3,150,0,0,1
171,Starbucks,"CAFFE VANILLA FRAPPUCCINO LIGHT, VENTI",250,0,56,5,280,5,1,1
172,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH 2% MILK É,300,2,68,4,220,10,0,1
173,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH 2% MILK É,210,2,47,3,160,5,0,1
174,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH 2% MILK É,400,3,88,5,290,10,0,1
175,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH 2% MILK É,420,13,72,4,230,50,0,1
176,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH 2% MILK É,290,10,50,3,170,35,0,1
177,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH 2% MILK É,510,14,91,6,300,55,0,1
178,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH ALMOND MÉ,280,2,66,1,220,0,1,1
179,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH ALMOND MÉ,190,1,45,1,160,0,1,1
180,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH ALMOND MÉ,360,2,85,1,290,0,1,1
181,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH ALMOND MÉ,390,13,69,1,230,40,1,1
182,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH ALMOND MÉ,270,9,48,1,160,30,1,1
183,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH ALMOND MÉ,470,14,88,2,300,40,1,1
184,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH COCONUT É,290,2,68,0,210,0,0,1
185,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH COCONUT É,200,2,47,0,150,0,0,1
186,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH COCONUT É,380,3,87,1,280,0,0,1
187,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH COCONUT É,400,13,71,1,220,40,0,1
188,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH COCONUT É,280,10,49,1,160,30,0,1
189,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH COCONUT É,490,14,90,1,290,40,0,1
190,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH NONFAT MÉ,290,0,69,4,220,0,0,1
191,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH NONFAT MÉ,200,0,47,3,150,0,0,1
192,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH NONFAT MÉ,370,0,88,5,290,5,0,1
193,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH NONFAT MÉ,400,11,72,4,230,45,0,1
194,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH NONFAT MÉ,280,8,50,3,160,30,0,1
195,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH NONFAT MÉ,490,11,92,6,300,45,0,1
196,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH SOY MILKÉ,310,2,70,3,210,0,1,1
197,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH SOY MILKÉ,210,2,48,2,150,0,0,1
198,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH SOY MILKÉ,400,2,90,4,280,0,1,1
199,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH SOY MILKÉ,420,13,73,4,220,40,1,1
200,Starbucks,CAFFE VANILLA FRAPPUCCINO WITH SOY MILKÉ,300,9,51,3,160,30,0,1
201,McDonald's,10 MCNUGGETS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
202,McDonald's,10 MCNUGGETS MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
203,McDonald's,10 PIECE BUTTERMILK CRISPY CHICKEN TENDÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
204,McDonald's,10 PIECE BUTTERMILK CRISPY CHICKEN TENDÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
205,McDonald's,10 PIECE GLAZED BUTTERMILK CRISPY CHICKÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
206,McDonald's,10 PIECE GLAZED BUTTERMILK CRISPY CHICKÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
207,McDonald's,13 COOKIE TOTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
208,McDonald's,2 CHEESEBURGER MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
209,McDonald's,2 MEDIUM FRENCH FRIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
210,McDonald's,20 MCNUGGETS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
211,McDonald's,4 PC GLAZED BUTTERMILK CRSPY CHICKEN TEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
212,McDonald's,4 PIECE BUTTERMILK CRISPY CHICKEN TENDEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
213,McDonald's,4 PIECE BUTTERMILK CRISPY CHICKEN TENDEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
214,McDonald's,4 PIECE CHICKEN MCNUGGET - HAPPY MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
215,McDonald's,4 PIECE GLAZED BUTTERMILK CRISPY CHICKEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
216,McDonald's,40 MCNUGGETS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
217,McDonald's,40 MCNUGGETS & 2 L FRIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
218,McDonald's,6 PIECE BUTTERMILK CRISPY CHICKEN TENDEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
219,McDonald's,6 PIECE BUTTERMILK CRISPY CHICKEN TENDEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
220,McDonald's,6 PIECE GLAZED BUTTERMILK CRISPY CHICKEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
221,McDonald's,6 PIECE GLAZED BUTTERMILK CRISPY CHICKEÉ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
222,McDonald's,APPLE & HOLIDAY PIE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
223,McDonald's,APPLE PIE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
224,McDonald's,APPLE SLICES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
225,McDonald's,APPLE SLICES,15,0,4,0,NULL,0,0,2
226,McDonald's,BACON BIG MAC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
227,McDonald's,BACON BIG MAC MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
228,McDonald's,BACON BUFFALO RANCH MCCHICKEN,430,21,41,20,850,50,2,2
229,McDonald's,BACON CHEDDAR MCCHICKEN,480,24,43,22,650,65,2,2
230,McDonald's,BACON CLUBHOUSE BURGER,720,40,51,39,1470,115,4,2
231,McDonald's,BACON CLUBHOUSE CRISPY CHICKEN SANDWICH,750,38,65,36,NULL,90,4,2
232,McDonald's,BACON CLUBHOUSE GRILLED CHICKEN SANDWICÉ,590,25,51,36,NULL,110,4,2
233,McDonald's,BACON EGG & CHEESE BISCUIT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
234,McDonald's,BACON EGG & CHEESE BISCUIT - MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
235,McDonald's,BACON EGG & CHEESE MCGRIDDLE - MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
236,McDonald's,BACON EGG & CHEESE MCGRIDDLES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
237,McDonald's,BACON MCDOUBLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
238,McDonald's,BACON MCDOUBLE,440,22,35,22,1110,90,2,2
239,McDonald's,BACON QPC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
240,McDonald's,BACON QPC MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
241,McDonald's,BACON RANCH SALAD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
242,McDonald's,BACON RANCH SALAD WITH CRISPY CHICKEN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
243,McDonald's,BACON RANCH SALAD WITH GRILLED CHICKEN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
244,McDonald's,"BACON, EGG & CHEESE BAGEL",620,31,57,30,1340,275,3,2
245,McDonald's,"BACON, EGG & CHEESE BAGEL WITH EGG WHITÉ",570,25,55,30,1340,60,3,2
246,McDonald's,"BACON, EGG & CHEESE BISCUIT (LARGE SIZEÉ",520,30,43,19,850,250,3,2
247,McDonald's,"BACON, EGG & CHEESE BISCUIT (REGULAR SIÉ",460,26,38,19,850,250,2,2
248,McDonald's,"BACON, EGG & CHEESE BISCUIT WITH EGG WHÉ",470,25,42,12,850,35,42,2
249,McDonald's,"BACON, EGG & CHEESE BISCUIT WITH EGG WHÉ",410,20,36,20,850,35,2,2
250,McDonald's,"BACON, EGG & CHEESE MCGRIDDLES",460,21,48,19,1250,250,2,2
251,McDonald's,"BACON, EGG & CHEESE MCGRIDDLES WITH EGGÉ",400,15,47,20,1250,35,2,2
252,McDonald's,BBQ RANCH BURGER,340,15,37,15,670,50,3,2
253,McDonald's,BIG BREAKFAST (LARGE SIZE BISCUIT),800,52,56,28,1560,555,4,2
254,McDonald's,BIG BREAKFAST (REGULAR SIZE BISCUIT),740,48,51,28,1560,555,3,2
255,McDonald's,BIG BREAKFAST WITH EGG WHITES (LARGE SIÉ,690,41,55,26,1560,35,4,2
256,McDonald's,BIG BREAKFAST WITH EGG WHITES (REGULAR É,640,37,50,26,1560,35,3,2
257,McDonald's,BIG BREAKFAST WITH HOTCAKES (LARGE SIZEÉ,1150,60,116,36,590,575,7,2
258,McDonald's,BIG BREAKFAST WITH HOTCAKES (REGULAR SIÉ,1090,56,111,36,590,575,6,2
259,McDonald's,BIG BREAKFAST WITH HOTCAKES AND EGG WHIÉ,1050,50,115,35,590,55,7,2
260,McDonald's,BIG BREAKFAST WITH HOTCAKES AND EGG WHIÉ,990,46,110,35,590,55,6,2
261,McDonald's,BIG MAC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
262,McDonald's,BIG MAC,530,27,47,24,960,85,3,2
263,McDonald's,BIG MAC MEAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
